Price,Close,Close,Close,Close,Dividends,Dividends,Dividends,Dividends,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-17,238.5353546142578,231.6199951171875,249.51132202148438,507.9079284667969,0.0,0.0,0.0,0.0,239.6432435766681,234.3000030517578,251.60846622440926,509.1726886784055,237.27774187166392,228.7100067138672,246.24575040208808,503.8348693472275,238.5153883976145,233.77000427246094,251.11914019611262,508.5054498653079,0.0,0.0,0.0,0.0,46508000,42815200,20491300,15816600
2025-09-18,237.42745971679688,231.22999572753906,251.98794555664062,506.3444519042969,0.0,0.0,0.0,0.0,240.74113579799257,233.47999572753906,253.7954894988705,510.9453149965379,236.199788714976,228.7899932861328,249.77095374956744,505.55771489166153,239.5134800259323,232.5,251.51858146535278,509.37184097126715,0.0,0.0,0.0,0.0,44249600,37931700,21166400,18913700
2025-09-19,245.032958984375,231.47999572753906,254.89401245117188,515.78515625,0.0,0.0,0.0,0.0,245.83144010441063,234.16000366210938,256.3520400389092,517.1494779837726,239.7530294205925,229.6999969482422,251.7262999738622,508.1967168320822,240.77107799962133,232.3699951171875,253.05649509989235,508.44568153944795,0.0,0.0,0.0,0.0,163741300,97943200,41616800,52474100
2025-09-22,255.5928192138672,227.6300048828125,252.53721618652344,512.319580078125,0.0,0.0,0.0,0.0,256.15178189089505,230.57000732421875,255.96255937363452,515.5959337012963,247.64797087114997,227.50999450683594,250.4700148378594,510.4174557013089,247.82763635806887,230.55999755859375,254.4346345672764,513.4548737162081,0.0,0.0,0.0,0.0,105517400,45914500,20079000,20009300
2025-09-23,253.9459686279297,220.7100067138672,251.99794006347656,507.1212463378906,0.0,0.0,0.0,0.0,256.8504363399061,227.86000061035156,254.42465403168023,512.4590659268906,253.0975947938589,220.07000732421875,250.74963448508717,505.2091838485409,255.39322235208516,227.8300018310547,253.31115997003903,511.67229848312854,0.0,0.0,0.0,0.0,60275200,70956200,17521100,19799600
2025-09-24,251.8300018310547,220.2100067138672,247.4940643310547,508.0373840332031,0.0,0.0,0.0,0.0,255.2534845023776,224.55999755859375,252.61711541084662,510.35772177145367,250.56241362070242,219.4499969482422,246.88489058620982,504.82077941210207,254.73446948849343,224.14999389648438,251.8082005786909,508.26644250853604,0.0,0.0,0.0,0.0,42303700,49509000,16958500,13533700
2025-09-25,256.3813171386719,218.14999389648438,246.2357635498047,504.9303283691406,0.0,0.0,0.0,0.0,256.6807646844572,220.6699981689453,246.9797487713338,507.89799878212006,251.2311452680336,216.47000122070312,241.3224195620241,502.94857891661616,252.72829161839874,220.05999755859375,244.5080977205706,506.1950582100621,0.0,0.0,0.0,0.0,55202100,52226300,17379800,15786500
2025-09-26,254.97401428222656,219.77999877929688,246.8449249267578,509.34197998046875,0.0,0.0,0.0,0.0,257.10994249251326,221.0500030517578,249.78094201324313,511.8117209714621,253.2972024297037,218.02000427246094,246.30566363488114,504.52202659403474,253.61660096533106,219.0800018310547,247.44911578332088,507.94778361103766,0.0,0.0,0.0,0.0,46076300,41650100,16594600,16213100
2025-09-29,253.9459686279297,222.1699981689453,244.0287628173828,512.4689331054688,0.0,0.0,0.0,0.0,254.5148915782133,222.60000610351562,251.30687809276412,514.7096154882738,252.52867184357527,219.3000030517578,242.8703315773225,506.77264973451184,254.0757261912774,220.0800018310547,247.93844920495468,509.3817950243417,0.0,0.0,0.0,0.0,40127700,44259200,23157200,17617800
2025-09-30,254.14559936523438,219.57000732421875,243.2198486328125,515.8051147460938,0.0,0.0,0.0,0.0,255.4331385813304,222.24000549316406,243.3446791838211,516.0142062084105,252.6284867333586,217.88999938964844,239.24623863215143,507.54943619028296,254.37515755125318,222.02999877929688,242.73050738714113,511.11459757878936,0.0,0.0,0.0,0.0,37704300,48396400,22541200,19728200
2025-10-01,254.9640350341797,220.6300048828125,245.2071533203125,517.557861328125,0.0,0.0,0.0,0.0,258.29769267334166,222.14999389648438,246.81497150595618,518.3545363078492,254.44502000530687,216.61000061035156,238.87575111870152,509.5710533372991,254.55481135314994,217.36000061035156,240.8530628773219,512.6681599915194,0.0,0.0,0.0,0.0,48713900,43933800,23967700,22632300
2025-10-02,256.6408386230469,222.41000366210938,246.095947265625,513.604248046875,0.0,0.0,0.0,0.0,257.68882891050583,222.80999755859375,247.29931566997493,519.439966484546,253.66649683440303,218.9499969482422,242.7754574796697,508.5652045551738,256.09186667190835,221.00999450683594,245.30702484602278,515.496404228155,0.0,0.0,0.0,0.0,42630200,41258600,20657500,21222900
2025-10-03,257.5291442871094,219.50999450683594,246.1159210205078,515.20751953125,0.0,0.0,0.0,0.0,258.7468246365968,224.1999969482422,246.78301477995933,518.3345307125708,253.46689477740222,219.33999633789062,242.14132038642188,512.8672756929882,254.18552630266564,223.44000244140625,244.89757357559975,514.9585548343116,0.0,0.0,0.0,0.0,49155600,43639000,19941400,15112300
2025-10-06,256.20166015625,220.89999389648438,251.16905212402344,526.3811645507812,0.0,0.0,0.0,0.0,258.57713717661323,221.72999572753906,251.85811921064592,528.8309994124726,254.56478079871025,216.02999877929688,245.35694953418547,516.0541122577388,257.49917477533796,221.0,245.44682387467418,516.4623876768178,0.0,0.0,0.0,0.0,44664100,43690900,18309000,21388600
2025-10-07,255.99209594726562,221.77999877929688,246.7949981689453,521.8101196289062,0.0,0.0,0.0,0.0,256.9103287268919,222.88999938964844,251.20900463703433,527.6060256392368,254.94407514023973,220.1699981689453,246.4754246431322,519.2806599401652,256.32145476920215,220.8800048828125,248.5925459182787,526.1022689962125,0.0,0.0,0.0,0.0,31955800,31194700,13811200,14615200
2025-10-08,257.569091796875,225.22000122070312,245.1272735595703,522.676513671875,0.0,0.0,0.0,0.0,258.0282082133661,226.72999572753906,246.9248213802435,524.7678538085896,255.62278908467795,221.19000244140625,244.75776475092104,520.923853084141,256.03201279963565,222.9199981689453,245.86626070065884,521.1130687043808,0.0,0.0,0.0,0.0,36496900,46686000,14136500,13363400
2025-10-09,253.55670166015625,227.74000549316406,241.88168334960938,520.2366943359375,0.0,0.0,0.0,0.0,257.50917476461467,228.2100067138672,245.2221350767108,522.158694647609,252.65841993311406,221.75,239.35509882598436,515.2574000210162,257.3195337882977,225.0,244.72781094114117,520.1769452354545,0.0,0.0,0.0,0.0,38322000,46412100,19375700,18343600
2025-10-10,244.80340576171875,216.3699951171875,237.16807556152344,508.84405517578125,0.0,0.0,0.0,0.0,255.8922708493858,228.25,244.5081031151831,521.4118200258811,243.53581752909898,216.0,236.3641588566611,507.5195762105422,254.45500785015722,226.2100067138672,241.83174330747613,517.4881335274953,0.0,0.0,0.0,0.0,61999100,72367500,22449100,24133800
2025-10-13,247.18885803222656,220.07000732421875,244.30838012695312,511.9212341308594,0.0,0.0,0.0,0.0,249.2149949644775,220.67999267578125,244.6579117832554,514.2714464494894,245.09284695690994,217.0399932861328,240.42365378640827,509.56105349845876,248.90558714178317,217.6999969482422,240.70327301620802,514.2714464494894,0.0,0.0,0.0,0.0,38142900,37809700,12465000,14284200
2025-10-14,247.29864501953125,216.38999938964844,245.85629272460938,511.4432373046875,0.0,0.0,0.0,0.0,248.37659224814226,219.32000732421875,247.68879685496785,513.1461778212379,244.23447809703134,212.60000610351562,240.85107781843712,503.9045785101632,246.13087266264282,215.55999755859375,241.427306790227,508.11707238992415,0.0,0.0,0.0,0.0,35478000,45665600,17705400,14684300
2025-10-15,248.86566162109375,215.57000732421875,251.36880493164062,511.3038024902344,0.0,0.0,0.0,0.0,251.3409547309234,217.7100067138672,252.41736942916336,515.0482414945574,246.99922390992754,212.66000366210938,246.4554607554471,507.888013925759,249.01538540478128,216.6199951171875,247.74871874685488,512.8274957075639,0.0,0.0,0.0,0.0,33893600,45909500,16048100,14694700
2025-10-16,246.97926330566406,214.47000122070312,251.53857421875,509.4913330078125,0.0,0.0,0.0,0.0,248.56623493239263,218.58999633789062,257.23082941743115,514.7096236704256,244.66368465033412,212.80999755859375,250.33020770413574,506.02576365101777,247.77774448085987,215.6699981689453,252.122772700916,510.4573477017149,0.0,0.0,0.0,0.0,39777000,42414600,18946000,15559600
2025-10-17,251.81002807617188,213.0399932861328,253.4459686279297,511.4532470703125,0.0,0.0,0.0,0.0,252.89796599708643,214.8000030517578,254.53450266096655,513.3453425707617,246.79958926324147,211.02999877929688,248.25302052802706,505.2091921192977,247.5481624372989,214.55999755859375,251.00928896640758,506.93203901166436,0.0,0.0,0.0,0.0,49147000,45986900,17653800,19867800
2025-10-20,261.7411193847656,216.47999572753906,256.6716003417969,514.6498413085938,0.0,0.0,0.0,0.0,263.87706298772724,216.69000244140625,257.5304504658622,516.5519656323323,255.14370850365398,213.58999633789062,254.25489770036705,511.30377036778043,255.4032084113237,213.8800048828125,254.88403337816922,512.4788764440519,0.0,0.0,0.0,0.0,90483000,38882800,13726800,14665600
2025-10-21,262.27008056640625,222.02999877929688,250.99929809570312,515.5162963867188,0.0,0.0,0.0,0.0,264.7853058703715,223.32000732421875,255.03383029849985,516.5420602391357,261.3318664386604,217.99000549316406,244.33834129177995,510.91543308707116,261.3817895915523,218.42999267578125,254.90400164086319,515.3569857054445,0.0,0.0,0.0,0.0,46695900,50494600,27836400,15586200
2025-10-22,257.9583435058594,217.9499969482422,252.18768310546875,518.3843994140625,0.0,0.0,0.0,0.0,262.349966966352,220.00999450683594,256.8313737278801,523.0549803520576,254.94406918261987,216.52000427246094,250.1115065245809,515.5661623300699,262.15033525743416,219.3000030517578,254.66431708821446,518.9919195722497,0.0,0.0,0.0,0.0,45015300,44308500,19650200,18962700
2025-10-23,259.0861511230469,221.08999633789062,253.3860626220703,518.404296875,0.0,0.0,0.0,0.0,260.12418111371363,221.3000030517578,255.51318026566653,521.7802730707533,257.51916110368444,218.17999267578125,252.4253762515009,516.4623598997719,259.4454820834593,219.0,253.35610450636662,520.2964530626382,0.0,0.0,0.0,0.0,32754900,31540000,13241300,14023500
2025-10-24,262.3200378417969,224.2100067138672,260.1568603515625,521.441650390625,0.0,0.0,0.0,0.0,263.62754335723145,225.39999389648438,262.15414913586386,523.1744351060786,258.68694768993146,221.89999389648438,255.75283492503297,518.5536961256696,260.69313376057823,221.97000122070312,256.95118990988885,520.6250388201142,0.0,0.0,0.0,0.0,38253700,38685100,18406000,15532400
2025-10-27,268.2986145019531,226.97000122070312,269.5640869140625,529.3189697265625,0.0,0.0,0.0,0.0,268.60802232244004,228.39999389648438,270.43290270240664,532.3662956890146,264.1465248140549,225.5399932861328,264.5808609008827,526.819354031342,264.37609822840903,227.66000366210938,265.0002744998441,529.577902779321,0.0,0.0,0.0,0.0,44888200,38267000,22987700,18734700
2025-10-28,268.4882507324219,229.25,268.0661315917969,539.8252563476562,0.0,0.0,0.0,0.0,269.3765722048576,231.49000549316406,271.0121450108063,551.4269763883988,267.63986169210665,226.2100067138672,266.80786026547077,538.5306518978505,268.4782600095115,228.22000122070312,269.83375183368696,547.7224103521172,0.0,0.0,0.0,0.0,41534800,47100000,20101200,29986700
2025-10-29,269.1869201660156,230.3000030517578,274.7969970703125,539.307373046875,0.0,0.0,0.0,0.0,270.8936584399069,232.82000732421875,275.595900411786,544.0078586434945,266.6018207191691,227.75999450683594,268.0661129897522,534.507325873603,268.76770579477784,231.6699981689453,268.24586167015235,542.6833492925585,0.0,0.0,0.0,0.0,51086700,52036200,26287900,36023000
2025-10-30,270.8836669921875,222.86000061035156,281.5178527832031,523.582763671875,0.0,0.0,0.0,0.0,273.6184749716116,228.44000244140625,291.53425498576104,532.7545848667123,267.969239224885,222.75,280.06983667597433,519.9578228356851,271.4725408872279,227.05999755859375,291.3245481932234,528.2831883129468,0.0,0.0,0.0,0.0,69886500,102252900,48570000,41023100
2025-10-31,269.85565185546875,244.22000122070312,281.43798828125,515.6656494140625,0.0,0.0,0.0,0.0,276.79244258078194,250.5,285.8969321261184,527.1279940743384,268.647962249571,243.97999572753906,277.14681597378535,512.9668501497666,276.4630533049319,250.10000610351562,282.82109013084,526.6898137654194,0.0,0.0,0.0,0.0,86167100,166340800,29932800,34006400
2025-11-03,268.53814697265625,254.0,283.73486328125,514.888916015625,0.0,0.0,0.0,0.0,270.33474092754267,258.6000061035156,285.552403539531,522.7860691817526,265.74348587775046,252.89999389648438,279.98994650105004,512.4590180581705,269.90556627002525,255.36000061035156,282.03718595995247,517.657371934483,0.0,0.0,0.0,0.0,50194600,95997800,19691800,22374700
2025-11-04,269.5262756347656,249.32000732421875,277.6830749511719,512.2001342773438,0.0,0.0,0.0,0.0,270.9734988318123,257.010009765625,281.4519764379777,513.4150529816625,267.11086611942017,248.66000366210938,276.4896875121595,505.73698923396887,267.8195068636227,250.3800048828125,276.6894285938104,509.6407695643784,0.0,0.0,0.0,0.0,49274800,51546300,18123700,20958700
2025-11-05,269.6260986328125,250.1999969482422,284.364013671875,505.0597839355469,0.0,0.0,0.0,0.0,271.18312844251227,251.0,286.31138258460743,512.6980347767452,266.4221834255846,246.16000366210938,277.5033310189176,504.4821687767013,268.0989800730272,249.02999877929688,279.00129772833924,511.17434154282535,0.0,0.0,0.0,0.0,43683100,40610700,20063200,23024300
2025-11-06,269.25677490234375,243.0399932861328,284.9532165527344,495.04144287109375,0.0,0.0,0.0,0.0,272.8798740142925,250.3800048828125,288.41851416951283,503.6058351018555,267.38037702601645,242.1699981689453,281.2382578122001,493.75677643867937,267.38037702601645,249.16000366210938,285.34767015683235,503.5659922381216,0.0,0.0,0.0,0.0,51204000,46004200,23103800,27406500
2025-11-07,267.9592590332031,244.41000366210938,279.32086181640625,494.7626037597656,0.0,0.0,0.0,0.0,271.7719991063764,244.89999389648438,284.114342933768,497.31199999791255,266.26248096015127,238.49000549316406,275.3662078945626,491.2073803526309,269.28671541495146,242.89999389648438,283.8247275130803,494.89207027354036,0.0,0.0,0.0,0.0,48227400,46374300,21991100,24019800
2025-11-10,269.1781311035156,248.39999389648438,290.19610595703125,503.9045715332031,0.26,0.0,0.0,0.0,273.4741297822401,251.75,291.0649218088883,504.7510576229119,267.20997142836535,245.58999633789062,283.15567431675817,496.73437575016374,268.7085692371889,248.33999633789062,284.87834220037746,497.9692613740871,0.0,0.0,0.0,0.0,41312400,36476500,19508200,26101500
